Feature,mean_when_included,std_when_included,min_cgam,max_cgam,count_runs,FMS,FID,range,ISS
ANKLE_AUC_JointAngles_Sym,84.02026235053407,24.43598154345407,30.098378796998652,158.4955481411677,374,1.7634471593596572,24.43598154345407,128.39716934416904,38.85733461581751
ANKLE_JointAngles_Range_Sym,81.41763965013527,24.180501101632135,21.30286079734668,148.98477909457546,383,-0.8391755410391397,24.180501101632135,127.68191829722878,43.825132777341224
ANKLE_MaxPeakIndex_JointAngles_Sym,82.74693881470431,24.282907238588624,30.847224716212807,149.85437449161356,402,0.4901236235298967,24.282907238588624,119.00714977540075,42.04128256607112
ANKLE_MinPeakIndex_JointAngles_Sym,79.37744114368321,23.97875901273519,21.30286079734668,128.20470707973843,368,-2.879374047491197,23.97875901273519,106.90184628239174,40.86815565416842
ANKLE_RMS_JointAngles_Sym,81.22002183223314,23.827112361132105,29.16646629560619,158.4955481411677,381,-1.0367933589412672,23.827112361132105,129.3290818455615,41.806578889411
HAM_AUC_EMG_Sym,88.99777153743756,23.21719200382767,29.714081457353938,160.4057551956937,341,6.740956346263147,23.21719200382767,130.69167373833977,28.817376557414093
HAM_MaxPeakIndex_EMG_Sym,81.00935849856936,23.924702842654956,21.30286079734668,158.4955481411677,371,-1.2474566926050557,23.924702842654956,137.192687343821,36.613348680585645
HAM_RMS_EMG_Sym,81.03095866552789,22.017914003042147,37.457131370847414,149.85437449161356,221,-1.2258565256465204,22.017914003042147,112.39724312076615,18.286950200290747
HIP_AUC_JointAngles_Sym,81.80190642344829,23.031874125261687,30.098378796998652,141.62323559692575,349,-0.4549087677261241,23.031874125261687,111.52485679992711,32.541608471229125
HIP_JointAngles_Range_Sym,81.39227120687227,22.478143075486226,31.067136539134292,131.14068256800823,383,-0.864543984302145,22.478143075486226,100.07354602887393,34.73969940633492
HIP_MaxPeakIndex_JointAngles_Sym,81.49559084579313,23.54007362921041,30.098378796998652,139.57851529777903,385,-0.7612243453812795,23.54007362921041,109.48013650078039,33.28027848341786
HIP_MinPeakIndex_JointAngles_Sym,83.672316812966,24.288055149565928,29.714081457353938,160.4057551956937,420,1.4155016217915914,24.288055149565928,130.69167373833977,40.14856365322618
HIP_RMS_JointAngles_Sym,80.81691812848267,23.02627960431183,29.16646629560619,136.08530903005868,410,-1.4398970626917418,23.02627960431183,106.91884273445248,39.175427176679946
KNEE_AUC_JointAngles_Sym,83.42117004477711,24.40332841327329,29.16646629560619,158.4955481411677,364,1.1643548536027026,24.40332841327329,129.3290818455615,36.54005694961113
KNEE_JointAngles_Range_Sym,81.92379777310481,22.68139026087822,31.997974269062276,141.62323559692575,402,-0.33301741806960194,22.68139026087822,109.62526132786348,37.30111660038243
KNEE_MaxPeakIndex_JointAngles_Sym,82.9765750387781,24.36977962513045,21.30286079734668,158.4955481411677,433,0.7197598476036831,24.36977962513045,137.192687343821,40.71809814885921
KNEE_MinPeakIndex_JointAngles_Sym,81.77202699892152,25.72225502251889,29.16646629560619,160.4057551956937,367,-0.4847881922528927,25.72225502251889,131.2392889000875,32.470615092841285
KNEE_RMS_JointAngles_Sym,86.14680464461797,22.964177097507005,35.62799783407031,160.4057551956937,388,3.8899894534435617,22.964177097507005,124.7777573616234,34.735321527896716
MG_AUC_EMG_Sym,96.283460568734,18.017406898265033,59.20578901338649,149.85437449161356,291,14.02664537755959,18.017406898265033,90.64858547822706,73.5257900809006
MG_MaxPeakIndex_EMG_Sym,81.29506979611584,24.45493142068046,21.30286079734668,160.4057551956937,391,-0.9617453950585713,24.45493142068046,139.10289439834702,34.8271346243947
MG_RMS_EMG_Sym,92.09030450263299,20.15413132493699,46.000591119254494,160.4057551956937,323,9.833489311458578,20.15413132493699,114.4051640764392,61.23802808382189
RF_AUC_EMG_Sym,85.82498842951553,22.99292020248148,21.30286079734668,160.4057551956937,250,3.5681732383411173,22.99292020248148,139.10289439834702,34.34575536345595
RF_MaxPeakIndex_EMG_Sym,81.34776731578437,23.9415205249455,21.30286079734668,148.98477909457546,396,-0.9090478753900442,23.9415205249455,127.68191829722878,35.45877220356385
RF_RMS_EMG_Sym,83.92190534797359,24.48919598060162,31.067136539134292,158.4955481411677,419,1.665090156799181,24.48919598060162,127.42841160203339,32.266837328504224
StancePhasePerc_GR_Sym,79.1510530848903,22.28611977602806,21.30286079734668,136.56484022923087,391,-3.105762106284118,22.28611977602806,115.26197943188419,36.83981052114585
StepDurations_GR_Sym,81.66848321599444,24.025396868806357,29.16646629560619,147.99910532749638,364,-0.5883319751799689,24.025396868806357,118.83263903189018,36.178205143436955
StepLengths_GR_Sym,84.50316030007676,24.581825980672214,31.93053843151539,160.4057551956937,304,2.2463451089023465,24.581825980672214,128.4752167641783,36.85233144385393
StepWidths_GR_Sym,78.80099483768022,23.620732241556784,29.16646629560619,138.1116146081971,333,-3.4558203534941896,23.620732241556784,108.9451483125909,43.28252403850995
StrideDurations_GR_Sym,66.12997628136901,17.09818089923828,21.30286079734668,113.40608252936542,366,-16.1268389098054,17.09818089923828,92.10322173201874,20.875631886012577
StrideLengths_GR_Sym,74.78161934220245,20.166244286484723,21.30286079734668,117.2509258698505,360,-7.475195848971964,20.166244286484723,95.94806507250382,29.81570272706601
StrideVelocities_GR_Sym,74.87604415009032,20.205351673806348,21.30286079734668,117.97553666923028,412,-7.380771041084088,20.205351673806348,96.6726758718836,37.927004293410846
SwingDurations_GR_Sym,85.07560085777997,25.29889598708609,29.714081457353938,160.4057551956937,216,2.8187856666055637,25.29889598708609,130.69167373833977,38.482256626532774
SwingPhasePerc_GR_Sym,83.87665618071438,23.357532842295477,34.76350780813101,158.4955481411677,172,1.6198409895399664,23.357532842295477,123.73204033303668,33.85791722794319
TA_AUC_EMG_Sym,80.91879766780578,23.65366859287286,30.098378796998652,160.4057551956937,274,-1.3380175233686344,23.65366859287286,130.30737639869506,36.47407084529809
TA_MaxPeakIndex_EMG_Sym,81.41414294818885,23.977262406533914,21.30286079734668,158.4955481411677,389,-0.8426722429855573,23.977262406533914,137.192687343821,36.99010415212889
TA_RMS_EMG_Sym,85.53194927982483,24.212834891418282,31.93053843151539,148.98477909457546,333,3.275134088650418,24.212834891418282,117.05424066306007,44.63396759115432
VL_AUC_EMG_Sym,77.65978052443793,23.377346512958564,29.16646629560619,160.4057551956937,242,-4.5970346667364765,23.377346512958564,131.2392889000875,28.58511833903475
VL_MaxPeakIndex_EMG_Sym,82.23558980312393,25.120939558958163,21.30286079734668,160.4057551956937,398,-0.021225388050481797,25.120939558958163,139.10289439834702,38.36915634491301
VL_RMS_EMG_Sym,85.35713570156234,23.84603635244604,33.113040052010774,148.98477909457546,347,3.100320510387931,23.84603635244604,115.87173904256468,43.57645800749148
